record_id,kind,name,code_location,default_or_example,meaning,units,conversion_or_equation,dimensional_status,numerical_certification,provenance,acceptance_note
F001,flux,nkcc1_inward_fmol_s,membranes.HomeostasisFluxes,,positive bath-to-cell NKCC1 cycle rate,fmol cycles s^-1,"capacity*tanh(A_NKCC/width)",DIMENSIONALLY_CLOSED,capacity uncalibrated,NEW_MODELING_DECISION,one cycle sources 1 Na 1 K 2 Cl
F002,flux,nhe1_inward_fmol_s,membranes.HomeostasisFluxes,,positive Na-in/H-out NHE1 cycle rate,fmol cycles s^-1,"capacity*tanh(A_NHE/width)",DIMENSIONALLY_CLOSED,capacity uncalibrated,NEW_MODELING_DECISION,one cycle sources +1 Na and +1 TA
F003,flux,ae2_inward_fmol_s,membranes.HomeostasisFluxes,,positive Cl-in/HCO3-out AE2 cycle rate,fmol cycles s^-1,"capacity*tanh(A_AE2/width)",DIMENSIONALLY_CLOSED,capacity uncalibrated,NEW_MODELING_DECISION,one cycle sources +Cl -TIC -TA
F004,flux,homeostasis.na_cell_fmol_s,membranes.HomeostasisFluxes,,combined intracellular sodium amount source,fmol Na s^-1,"J_NKCC+J_NHE",EXACT_STOICHIOMETRY,underlying rates uncalibrated,DERIVED_CONSTRAINT,not a current
F005,flux,homeostasis.k_cell_fmol_s,membranes.HomeostasisFluxes,,combined intracellular potassium amount source,fmol K s^-1,J_NKCC,EXACT_STOICHIOMETRY,underlying rate uncalibrated,DERIVED_CONSTRAINT,not a current
F006,flux,homeostasis.cl_cell_fmol_s,membranes.HomeostasisFluxes,,combined intracellular chloride amount source,fmol Cl s^-1,"2J_NKCC+J_AE2",EXACT_STOICHIOMETRY,underlying rates uncalibrated,DERIVED_CONSTRAINT,not a conventional current
F007,flux,homeostasis.tic_cell_fmol_s,membranes.HomeostasisFluxes,,intracellular carbon amount source,fmol carbon s^-1,-J_AE2,EXACT_STOICHIOMETRY,underlying rate uncalibrated,DERIVED_CONSTRAINT,
F008,flux,homeostasis.alkalinity_cell_fmol_s,membranes.HomeostasisFluxes,,intracellular alkalinity source,fmol charge equivalents s^-1,"J_NHE-J_AE2",EXACT_STOICHIOMETRY,underlying rates uncalibrated,DERIVED_CONSTRAINT,
F009,flux,ae4.j_na_fmol_s,transporters.AE4Flux,,positive chloride-loading sodium-branch cycle rate,fmol cycles s^-1,"carrier_fmol*rate_per_carrier_s^-1",DIMENSIONALLY_CLOSED,carrier amount and rates uncertified,NEW_MODELING_DECISION,branch event exports one Na and two HCO3 while importing Cl
F010,flux,ae4.j_k_fmol_s,transporters.AE4Flux,,positive chloride-loading potassium-branch cycle rate,fmol cycles s^-1,"carrier_fmol*rate_per_carrier_s^-1",DIMENSIONALLY_CLOSED,carrier amount and rates uncertified,NEW_MODELING_DECISION,branch event exports one K and two HCO3 while importing Cl
F011,flux,ae4.source_na_i_fmol_s,transporters.AE4Flux,,AE4 intracellular sodium amount source,fmol Na s^-1,-J_Na,EXACT_STOICHIOMETRY,underlying rates uncertified,DERIVED_CONSTRAINT,
F012,flux,ae4.source_k_i_fmol_s,transporters.AE4Flux,,AE4 intracellular potassium amount source,fmol K s^-1,-J_K,EXACT_STOICHIOMETRY,underlying rates uncertified,DERIVED_CONSTRAINT,
F013,flux,ae4.source_cl_i_fmol_s,transporters.AE4Flux,,AE4 intracellular chloride amount source,fmol Cl s^-1,"J_Na+J_K",EXACT_STOICHIOMETRY,underlying rates uncertified,DERIVED_CONSTRAINT,
F014,flux,ae4.source_hco3_i_fmol_s,transporters.AE4Flux,,explicit AE4 bicarbonate source,fmol HCO3 s^-1,"-2*(J_Na+J_K)",EXACT_STOICHIOMETRY,working 1:1:2 stoichiometry not identified,DERIVED_CONSTRAINT,do not double count with conserved coordinates
F015,flux,ae4.source_tic_i_fmol_s,transporters.AE4Flux,,AE4 intracellular total-carbon source,fmol carbon s^-1,"source_HCO3",EXACT_STOICHIOMETRY,working 1:1:2 stoichiometry not identified,DERIVED_CONSTRAINT,
F016,flux,ae4.source_alkalinity_i_fmol_s,transporters.AE4Flux,,AE4 intracellular alkalinity source,fmol charge equivalents s^-1,"source_HCO3",EXACT_STOICHIOMETRY,working 1:1:2 stoichiometry not identified,DERIVED_CONSTRAINT,
F017,flux,pump_apical_fmol_s,membranes.MembraneFluxes,,apical Na/K-pump cycle rate,fmol cycles s^-1,"f_p*capacity*Na_gate*K_l_gate",DIMENSIONALLY_CLOSED,capacity/fraction uncalibrated,NEW_MODELING_DECISION,3 Na cell-to-lumen and 2 K lumen-to-cell per cycle
F018,flux,pump_basolateral_fmol_s,membranes.MembraneFluxes,,basolateral Na/K-pump cycle rate,fmol cycles s^-1,"(1-f_p)*capacity*Na_gate*K_bath_gate",DIMENSIONALLY_CLOSED,capacity/fraction uncalibrated,NEW_MODELING_DECISION,ATP-replete irreversible open-energy closure
F019,flux,j_k_apical,membranes.evaluate_membrane_closure internal,,K particle flux cell-to-lumen,fmol K s^-1,"I_Ka/(+F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,positive follows positive conventional current
F020,flux,j_cl_apical,membranes.evaluate_membrane_closure internal,,Cl particle flux cell-to-lumen,fmol Cl s^-1,"I_Cla/(-F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,positive current implies negative chloride particle flux
F021,flux,j_k_basolateral,membranes.evaluate_membrane_closure internal,,K particle flux cell-to-bath,fmol K s^-1,"I_Kb/(+F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,
F022,flux,j_para_na,membranes.evaluate_membrane_closure internal,,Na particle flux lumen-to-bath,fmol Na s^-1,"I_paraNa/(+F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,
F023,flux,j_para_k,membranes.evaluate_membrane_closure internal,,K particle flux lumen-to-bath,fmol K s^-1,"I_paraK/(+F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,
F024,flux,j_para_cl,membranes.evaluate_membrane_closure internal,,Cl particle flux lumen-to-bath,fmol Cl s^-1,"I_paraCl/(-F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,anion sign retained
F025,flux,j_para_hco3,membranes.evaluate_membrane_closure internal,,HCO3 particle flux lumen-to-bath,fmol HCO3 s^-1,"I_paraHCO3/(-F)*1e15",EXACT_CONVERSION,conductance uncalibrated,DERIVED_CONSTRAINT,updates lumen TIC and TA equally
F026,flux,membranes.cell_sources_fmol_s.na,membranes.MembraneFluxes,,electrogenic membrane intracellular sodium source,fmol Na s^-1,"-3*(J_pump_a+J_pump_b)",EXACT_STOICHIOMETRY,pump uncalibrated,DERIVED_CONSTRAINT,
F027,flux,membranes.cell_sources_fmol_s.k,membranes.MembraneFluxes,,electrogenic membrane intracellular potassium source,fmol K s^-1,"2*(J_pump_a+J_pump_b)-J_Ka-J_Kb",EXACT_STOICHIOMETRY,pump/conductances uncalibrated,DERIVED_CONSTRAINT,
F028,flux,membranes.cell_sources_fmol_s.cl,membranes.MembraneFluxes,,electrogenic membrane intracellular chloride source,fmol Cl s^-1,-J_Cla,EXACT_STOICHIOMETRY,conductance uncalibrated,DERIVED_CONSTRAINT,
F029,flux,membranes.cell_sources_fmol_s.tic,membranes.MembraneFluxes,0,electrogenic membrane intracellular carbon source,fmol carbon s^-1,0,EXACT,no carbon membrane current in this block,DERIVED_CONSTRAINT,CO2 and exchangers handled separately
F030,flux,membranes.cell_sources_fmol_s.alkalinity,membranes.MembraneFluxes,0,electrogenic membrane intracellular alkalinity source,fmol equivalents s^-1,0,EXACT,no bicarbonate transcellular channel in this block,DERIVED_CONSTRAINT,other acid-base pathways handled separately
F031,flux,membranes.lumen_sources_fmol_s.na,membranes.MembraneFluxes,,electrogenic lumen sodium source,fmol Na s^-1,"3J_pump_a-J_paraNa",EXACT_STOICHIOMETRY,underlying terms uncalibrated,DERIVED_CONSTRAINT,
F032,flux,membranes.lumen_sources_fmol_s.k,membranes.MembraneFluxes,,electrogenic lumen potassium source,fmol K s^-1,"-2J_pump_a+J_Ka-J_paraK",EXACT_STOICHIOMETRY,underlying terms uncalibrated,DERIVED_CONSTRAINT,
F033,flux,membranes.lumen_sources_fmol_s.cl,membranes.MembraneFluxes,,electrogenic lumen chloride source,fmol Cl s^-1,"J_Cla-J_paraCl",EXACT_STOICHIOMETRY,underlying terms uncalibrated,DERIVED_CONSTRAINT,
F034,flux,membranes.lumen_sources_fmol_s.tic,membranes.MembraneFluxes,,electrogenic lumen carbon source,fmol carbon s^-1,-J_paraHCO3,EXACT_STOICHIOMETRY,underlying term uncalibrated,DERIVED_CONSTRAINT,
F035,flux,membranes.lumen_sources_fmol_s.alkalinity,membranes.MembraneFluxes,,electrogenic lumen alkalinity source,fmol equivalents s^-1,-J_paraHCO3,EXACT_STOICHIOMETRY,underlying term uncalibrated,DERIVED_CONSTRAINT,
F036,flux,j_co2_b,model.ModernFullModel.evaluate,,neutral CO2 bath-to-cell flux,fmol carbon s^-1,"P_b*(CO2_bath-CO2_cell)",DIMENSIONALLY_CLOSED,permeability uncalibrated,NEW_MODELING_DECISION,changes TIC not TA or current
F037,flux,j_co2_a,model.ModernFullModel.evaluate,,neutral CO2 lumen-to-cell flux,fmol carbon s^-1,"P_a*(CO2_lumen-CO2_cell)",DIMENSIONALLY_CLOSED,permeability uncalibrated,NEW_MODELING_DECISION,equal/opposite cell and lumen source
F038,flux,outflow.na,model.ModelDiagnostics,,ductal sodium removal from local lumen,fmol Na s^-1,"q_out_pL_s*Na_l_mM",EXACT_CONVERSION,outflow/geometry uncalibrated,DERIVED_CONSTRAINT,"uses 1 mM*pL=1 fmol"
F039,flux,outflow.k,model.ModelDiagnostics,,ductal potassium removal from local lumen,fmol K s^-1,"q_out_pL_s*K_l_mM",EXACT_CONVERSION,outflow/geometry uncalibrated,DERIVED_CONSTRAINT,"uses 1 mM*pL=1 fmol"
F040,flux,outflow.cl,model.ModelDiagnostics,,ductal chloride removal from local lumen,fmol Cl s^-1,"q_out_pL_s*Cl_l_mM",EXACT_CONVERSION,outflow/geometry uncalibrated,DERIVED_CONSTRAINT,"uses 1 mM*pL=1 fmol"
F041,flux,outflow.tic,model.ModelDiagnostics,,ductal total-carbon removal from local lumen,fmol carbon s^-1,"q_out_pL_s*TIC_l_mM",EXACT_CONVERSION,outflow/geometry uncalibrated,DERIVED_CONSTRAINT,"uses 1 mM*pL=1 fmol"
F042,flux,outflow.alkalinity,model.ModelDiagnostics,,ductal alkalinity removal from local lumen,fmol equivalents s^-1,"q_out_pL_s*TA_l_mM",EXACT_CONVERSION,outflow/geometry uncalibrated,DERIVED_CONSTRAINT,"uses 1 mM*pL=1 fmol"
C001,current,k_apical,membranes.MembraneFluxes.currents_A,,conventional K current cell-to-lumen,A,"G_Ka*(V_a-E_Ka)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,positive maps to positive K particle flux
C002,current,cl_apical,membranes.MembraneFluxes.currents_A,,conventional Cl current cell-to-lumen,A,"G_Cla*(V_a-E_Cla)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,positive maps to negative Cl particle flux
C003,current,pump_apical,membranes.MembraneFluxes.currents_A,,net positive pump current cell-to-lumen,A,"F_C_per_mol*J_cycle_fmol_s/1e15",EXACT_CONVERSION,pump rate uncalibrated,DERIVED_CONSTRAINT,one outward positive-charge equivalent per 3Na/2K cycle
C004,current,k_basolateral,membranes.MembraneFluxes.currents_A,,conventional K current cell-to-bath,A,"G_Kb*(V_b-E_Kb)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,positive maps to positive K particle flux
C005,current,pump_basolateral,membranes.MembraneFluxes.currents_A,,net positive pump current cell-to-bath,A,"F_C_per_mol*J_cycle_fmol_s/1e15",EXACT_CONVERSION,pump rate uncalibrated,DERIVED_CONSTRAINT,one outward positive-charge equivalent per cycle
C006,current,para_na,membranes.MembraneFluxes.currents_A,,conventional Na current lumen-to-bath,A,"G_paraNa*(V_t-E_Na)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,
C007,current,para_k,membranes.MembraneFluxes.currents_A,,conventional K current lumen-to-bath,A,"G_paraK*(V_t-E_K)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,
C008,current,para_cl,membranes.MembraneFluxes.currents_A,,conventional Cl current lumen-to-bath,A,"G_paraCl*(V_t-E_Cl)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,anion particle direction includes z=-1
C009,current,para_hco3,membranes.MembraneFluxes.currents_A,,conventional bicarbonate current lumen-to-bath,A,"G_paraHCO3*(V_t-E_HCO3)",DIMENSIONALLY_CERTIFIED,conductance uncalibrated,DERIVED_CONSTRAINT,anion particle direction includes z=-1
C010,current,apical_total,membranes.MembraneFluxes.currents_A,,total conventional apical cell-to-lumen current,A,"I_Ka+I_Cla+I_pumpa",EXACT_SUM,underlying terms uncalibrated,DERIVED_CONSTRAINT,closure requires I_apical-I_para=0
C011,current,basolateral_total,membranes.MembraneFluxes.currents_A,,total conventional basolateral cell-to-bath current,A,"I_Kb+I_pumpb",EXACT_SUM,underlying terms uncalibrated,DERIVED_CONSTRAINT,closure requires I_basolateral+I_para=0
C012,current,paracellular_total,membranes.MembraneFluxes.currents_A,,total conventional lumen-to-bath current,A,"sum four paracellular currents",EXACT_SUM,underlying terms uncalibrated,DERIVED_CONSTRAINT,
C013,current,ae4.transported_current_A,transporters.AE4Flux,0 for branch-electroneutral cycle,net AE4 transported conventional current,A,"F*charge_equivalent_fmol_s/1e15",EXACT_CONVERSION,exact zero in retained cycle,DERIVED_CONSTRAINT,nonzero would indicate charge/stoichiometry defect
C014,conversion,current_to_fmol_s,membranes.current_to_fmol_s,1 pA monovalent = 0.0103642696566 fmol s^-1,charge current to signed particle flux,fmol particles s^-1,"J=I/(zF)*1e15",EXACT_SI_CONVERSION,tested,DERIVED_CONSTRAINT,z must be explicit and nonzero
C015,conversion,pump_fmol_s_to_current_A,membranes.evaluate_membrane_closure,1 fmol cycle s^-1 = 9.648533212e-11 A,net pump cycle rate to current,A,"I=F*J/1e15",EXACT_SI_CONVERSION,tested via round trip,DERIVED_CONSTRAINT,valid because pump cycle exports one net positive equivalent
R001,rate,affinity_NKCC1,membranes.HomeostasisFluxes.affinities,,ideal-solution thermodynamic log activity ratio,dimensionless,"ln((Na_e K_e Cl_e^2)/(Na_i K_i Cl_i^2))",EXACT_WITHIN_IDEAL_ACTIVITIES,activity coefficients omitted,DERIVED_CONSTRAINT,all concentrations cancel in like units
R002,rate,affinity_NHE1,membranes.HomeostasisFluxes.affinities,,ideal-solution thermodynamic log activity ratio,dimensionless,"ln((Na_e H_i)/(Na_i H_e))",EXACT_WITHIN_IDEAL_ACTIVITIES,activity coefficients omitted,DERIVED_CONSTRAINT,all concentrations cancel in like units
R003,rate,affinity_AE2,membranes.HomeostasisFluxes.affinities,,ideal-solution thermodynamic log activity ratio,dimensionless,"ln((Cl_e HCO3_i)/(Cl_i HCO3_e))",EXACT_WITHIN_IDEAL_ACTIVITIES,activity coefficients omitted,DERIVED_CONSTRAINT,all concentrations cancel in like units
R004,rate,ae4.affinity_na,transporters.AE4Flux,,Na-branch chemical affinity divided by RT,dimensionless,"ln(Cl_o/Cl_i)+ln(Na_i/Na_o)+2ln(HCO3_i/HCO3_o)",EXACT_WITHIN_DECLARED_CYCLE,working stoichiometry not identified,DERIVED_CONSTRAINT,all activities must use one standard state
R005,rate,ae4.affinity_k,transporters.AE4Flux,,K-branch chemical affinity divided by RT,dimensionless,"ln(Cl_o/Cl_i)+ln(K_i/K_o)+2ln(HCO3_i/HCO3_o)",EXACT_WITHIN_DECLARED_CYCLE,working stoichiometry not identified,DERIVED_CONSTRAINT,all activities must use one standard state
R006,rate,cl_o_to_i_s,transporters.AE4EffectiveRates,,outward-to-inward common chloride-edge rate per carrier,s^-1,"k_cl*exp(log(Cl_o/Cl_i)/2)",DIMENSIONALLY_CERTIFIED,uncertified rate,NEW_MODELING_DECISION,
R007,rate,cl_i_to_o_s,transporters.AE4EffectiveRates,,inward-to-outward common chloride-edge rate per carrier,s^-1,"k_cl*exp(-log(Cl_o/Cl_i)/2)",DIMENSIONALLY_CERTIFIED,uncertified rate,NEW_MODELING_DECISION,
R008,rate,na_i_to_o_s,transporters.AE4EffectiveRates,,positive sodium-return-edge rate per carrier,s^-1,"k_Na*modulation*gate*exp(logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified rate,NEW_MODELING_DECISION,
R009,rate,na_o_to_i_s,transporters.AE4EffectiveRates,,reverse sodium-return-edge rate per carrier,s^-1,"k_Na*modulation*gate*exp(-logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified rate,NEW_MODELING_DECISION,
R010,rate,k_i_to_o_s,transporters.AE4EffectiveRates,,positive potassium-return-edge rate per carrier,s^-1,"k_K*modulation*gate*exp(logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified rate,NEW_MODELING_DECISION,
R011,rate,k_o_to_i_s,transporters.AE4EffectiveRates,,reverse potassium-return-edge rate per carrier,s^-1,"k_K*modulation*gate*exp(-logratio/2)",DIMENSIONALLY_CERTIFIED,uncertified rate,NEW_MODELING_DECISION,
R012,rate,AE4EffectiveRates.relaxation_rate_s,transporters.AE4EffectiveRates,,two-state carrier relaxation rate,s^-1,"sum all O-to-I and I-to-O edge rates",EXACT_WITHIN_REDUCTION,uncertified rates,DERIVED_CONSTRAINT,cannot assert QSS from test-fixture attempt rates
R013,rate,AE4EffectiveRates.relaxation_time_s,transporters.AE4EffectiveRates,,two-state carrier relaxation time,s,"1/relaxation_rate_s",EXACT_WITHIN_REDUCTION,uncertified rates,DERIVED_CONSTRAINT,QSS requires independent separation from whole-cell times
R014,rate,ae4.qss_residual_s,transporters.AE4Flux,,absolute carrier-occupancy RHS residual,s^-1,"abs(dp_in/dt)",EXACT_NUMERICAL,tested near roundoff,DERIVED_CONSTRAINT,name suffix means per-second residual not seconds
R015,rate,ae4.entropy_production_over_r_fmol_s,transporters.AE4Flux,,entropy production divided by molar gas constant,fmol s^-1,"J_Na*A_Na+J_K*A_K",DIMENSIONALLY_CERTIFIED,depends on declared ideal cycle,DERIVED_CONSTRAINT,multiply by R for entropy rate in J K^-1 s^-1 after fmol-to-mol conversion
R016,rate,ae4.transported_charge_equivalents_fmol_s,transporters.AE4Flux,0,net transported charge-equivalent rate,fmol charge equivalents s^-1,"Na_source+K_source-Cl_source-TA_source",EXACT_ZERO,tested,DERIVED_CONSTRAINT,
R017,rate,ae4.occupancy_outward,transporters.AE4Flux,,outward carrier-state fraction,dimensionless fraction,"k_ItoO_total/sigma",EXACT_QSS,attempt rates uncertified,DERIVED_CONSTRAINT,sums with inward occupancy to one
R018,rate,ae4.occupancy_inward,transporters.AE4Flux,,inward carrier-state fraction,dimensionless fraction,"k_OtoI_total/sigma",EXACT_QSS,attempt rates uncertified,DERIVED_CONSTRAINT,sums with outward occupancy to one
R019,rate,ae4.gate_na,transporters.AE4EffectiveRates,,fast sodium cooperative gate,dimensionless fraction,"floor+(1-floor)/(1+(EC50/c)^hill)",EXACT_DIMENSION,observation-map hypothesis,NEW_MODELING_DECISION,not a state or delay
R020,rate,ae4.gate_k,transporters.AE4EffectiveRates,,fast potassium cooperative gate,dimensionless fraction,"floor+(1-floor)/(1+(EC50/c)^hill)",EXACT_DIMENSION,observation-map hypothesis,NEW_MODELING_DECISION,not a state or delay
R021,rate,ae4.mixed_bath_na_attempt_fraction,transporters.AE4Flux,,fraction of loaded branch attempt capacity assigned to Na,dimensionless fraction,"k_Na/(k_Na+k_K)",EXACT_DIMENSION,not constrained by pure-cation assays,NEW_MODELING_DECISION,decision-relevant uncertainty
R022,rate,thermal_voltage_V,parameters.PhysicalConstants,,RT/F,V,"R*T/F",EXACT_SI_CONVERSION,temperature value protocol dependent,DERIVED_CONSTRAINT,
R023,rate,nernst_voltage_V,membranes.nernst_voltage_V,,ion reversal potential,V,"RT/(zF)*ln(c_second/c_first)",EXACT_WITHIN_IDEAL_ACTIVITIES,activity coefficients omitted,DERIVED_CONSTRAINT,valence and orientation must be explicit
W001,water,bath_to_cell_pL_s,water.WaterFluxes,,basolateral water flow bath-to-cell,pL s^-1,"L_b*(osm_cell-osm_bath)",DIMENSIONALLY_CLOSED,published-model coefficient converted exactly; physiological transfer uncertified,DERIVED_CONSTRAINT,positive into cell
W002,water,cell_to_lumen_pL_s,water.WaterFluxes,,apical water flow cell-to-lumen,pL s^-1,"L_a*(osm_lumen-osm_cell)",DIMENSIONALLY_CLOSED,published-model coefficient converted exactly; physiological transfer uncertified,DERIVED_CONSTRAINT,positive into lumen
W003,water,bath_to_lumen_pL_s,water.WaterFluxes,,paracellular water flow bath-to-lumen,pL s^-1,"L_t*(osm_lumen-osm_bath)",DIMENSIONALLY_CLOSED,published-model coefficient converted exactly; physiological transfer uncertified,DERIVED_CONSTRAINT,positive into lumen
W004,water,lumen_outflow_pL_s,water.WaterFluxes,,local lumen-to-duct volume flow,pL s^-1,"k_out_s^-1*max(V_l-V_dead,0)",DIMENSIONALLY_CLOSED,compliance law uncalibrated,NEW_MODELING_DECISION,not whole-gland saliva without scale-up
W005,water,cell_volume_source_pL_s,water.WaterFluxes,,cell-volume RHS,pL s^-1,"q_b-q_a",EXACT_CONSERVATION,published-model water coefficients converted exactly; WT transfer pending,DERIVED_CONSTRAINT,
W006,water,lumen_volume_source_pL_s,water.WaterFluxes,,lumen-volume RHS,pL s^-1,"q_a+q_t-q_out",EXACT_CONSERVATION,published-model water coefficients exact; local outflow and WT transfer pending,DERIVED_CONSTRAINT,
W007,water,volume_conservation_residual_pL_s,water.WaterFluxes,0,internal volume-accounting residual,pL s^-1,"dV_i+dV_l-(q_b+q_t-q_out)",EXACT_ZERO,tested,DERIVED_CONSTRAINT,
W008,water,finite_buffer_osmoles,water.cell_impermeant_osmoles_fmol,30.0 fmol at reference,osmotic particles from effective buffer sites,fmol osmoles,"n_buffer sites contributes n_buffer particles",EXACT_ACCOUNTING,explicitly added once and regression-tested,DERIVED_CONSTRAINT,protonation does not change particle count
W009,water,total_cell_impermeant_osmoles,water.cell_impermeant_osmoles_fmol,86.16159280366088 fmol at reference,total other-impermeant plus finite-buffer particles,fmol osmoles,"n_other+n_buffer",EXACT_ACCOUNTING,component values uncalibrated,DERIVED_CONSTRAINT,prevents omission and double count
D001,derivative,rhs[0] na_i,model.ModernFullModel.evaluate,,intracellular sodium amount rate,fmol Na s^-1,"homeostasis+AE4+membrane",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D002,derivative,rhs[1] k_i,model.ModernFullModel.evaluate,,intracellular potassium amount rate,fmol K s^-1,"homeostasis+AE4+membrane",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D003,derivative,rhs[2] cl_i,model.ModernFullModel.evaluate,,intracellular chloride amount rate,fmol Cl s^-1,"homeostasis+AE4+membrane",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D004,derivative,rhs[3] tic_i,model.ModernFullModel.evaluate,,intracellular total-carbon amount rate,fmol carbon s^-1,"homeostasis+AE4+CO2",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D005,derivative,rhs[4] alk_i,model.ModernFullModel.evaluate,,intracellular alkalinity rate,fmol charge equivalents s^-1,"homeostasis+AE4",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D006,derivative,rhs[5] volume_i,model.ModernFullModel.evaluate,,cell-volume rate,pL s^-1,"q_b-q_a",DIMENSIONALLY_CLOSED,published-model hydraulic conversion exact; state-dependent dynamics pending WT validation,DERIVED_CONSTRAINT,
D007,derivative,rhs[6] na_l,model.ModernFullModel.evaluate,,lumen sodium amount rate,fmol Na s^-1,"membrane source-outflow",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D008,derivative,rhs[7] k_l,model.ModernFullModel.evaluate,,lumen potassium amount rate,fmol K s^-1,"membrane source-outflow",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D009,derivative,rhs[8] cl_l,model.ModernFullModel.evaluate,,lumen chloride amount rate,fmol Cl s^-1,"membrane source-outflow",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D010,derivative,rhs[9] tic_l,model.ModernFullModel.evaluate,,lumen total-carbon amount rate,fmol carbon s^-1,"membrane HCO3-CO2_apical-outflow",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D011,derivative,rhs[10] alk_l,model.ModernFullModel.evaluate,,lumen alkalinity rate,fmol charge equivalents s^-1,"membrane HCO3-outflow",DIMENSIONALLY_CLOSED,all capacities uncalibrated,DERIVED_CONSTRAINT,
D012,derivative,rhs[11] volume_l,model.ModernFullModel.evaluate,,lumen-volume rate,pL s^-1,"q_a+q_t-q_out",DIMENSIONALLY_CLOSED,published-model hydraulic conversion exact; local outflow and WT dynamics uncertified,DERIVED_CONSTRAINT,
D013,diagnostic,RestingRoot.max_abs_scaled_rhs,model.solve_resting_root,,maximum nondimensionalized residual,dimensionless numerical norm,"max(abs(rhs/(reference/100 s)))",DIMENSIONLESS_AFTER_DECLARED_SCALING,100 s is solver scaling not measured physiology,NEW_MODELING_DECISION,root threshold may use it but it cannot calibrate time
D014,diagnostic,RestingRoot.max_abs_raw_rhs,model.solve_resting_root,,maximum over heterogeneous raw RHS rows,mixed fmol s^-1 / pL s^-1 / regulatory s^-1,"max(abs(raw))",NOT_A_PHYSICAL_NORM,debug only,NEW_MODELING_DECISION,never compare it physically across row types or model dimensions
D015,diagnostic,current_residuals_A.apical,membranes.MembraneFluxes,,apical current closure residual,A,"I_apical-I_para",EXACT_ZERO,tested to roundoff,DERIVED_CONSTRAINT,
D016,diagnostic,current_residuals_A.basolateral,membranes.MembraneFluxes,,basolateral current closure residual,A,"I_basolateral+I_para",EXACT_ZERO,tested to roundoff,DERIVED_CONSTRAINT,
D017,diagnostic,charge_residuals_fmol_s.cell_source_minus_current,membranes.MembraneFluxes,,cell source/current consistency,fmol charge equivalents s^-1,"chemical charge source+I_total/F*1e15",EXACT_ZERO,tested to roundoff,DERIVED_CONSTRAINT,
D018,diagnostic,charge_residuals_fmol_s.lumen_source_minus_current,membranes.MembraneFluxes,,lumen source/current consistency,fmol charge equivalents s^-1,"chemical charge source-(I_apical-I_para)/F*1e15",EXACT_ZERO,tested to roundoff,DERIVED_CONSTRAINT,
D019,diagnostic,carbon_accounting_fmol_s,model.ModelDiagnostics,,cell+lumen carbon accounting residual,fmol carbon s^-1,,EXACT_ZERO,tested to roundoff,DERIVED_CONSTRAINT,open-bath and outflow terms must be subtracted
D020,diagnostic,cell/lumen_speciation_alkalinity_mM,model.ModelDiagnostics,,algebraic TA reconstruction residual,mM equivalents,,NUMERICAL_ZERO,tested,DERIVED_CONSTRAINT,
X001,scaling,absolute_membrane_area,modern_full_model modules,absent,membrane area needed only to convert reported densities to whole-cell lumps,m^2 or cm^2,"G=g_density*A; capacity=flux_density*A",DIMENSIONALLY_REQUIRED_FOR_DENSITY_IMPORT,uncertified,NEW_MODELING_DECISION,current code parameters already represent whole-cell absolute values
X002,scaling,cell_volume_scale,states amount coordinates,explicit state,converts whole-cell amount rate to concentration rate,pL,"dc/dt=(dn/dt-c*dV/dt)/V",EXACT,accepted WT volume not yet established,DERIVED_CONSTRAINT,no separate dilution source is allowed
