capacity_coordinate,direct_same_system_measurement_interval,hard_inherited_bound,inherited_value,note,provenance,root_id,source_field,task18_role,units
paracellular_HCO3,False,False,5e-11,charge-complete paracellular bicarbonate pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,membranes.g_para_hco3_S,ADJUSTABLE,S
homeostasis.ae2_capacity_fmol_s,False,False,0.005,small placeholder capacity; AE2-null is a validation gate,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,homeostasis.ae2_capacity_fmol_s,FIXED_NONLOADING_TRANSPORTER,fmol s^-1
membranes.g_apical_background_S,False,False,0.0,zero preserves the exact no-apical-K nesting limit,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,membranes.g_apical_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
membranes.g_basolateral_background_S,False,False,0.0,small K-selective regularizer; set zero only if closure remains nonsingular,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,membranes.g_basolateral_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
water.apical_hydraulic_pL_s_mOsm,False,False,0.00432,Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,water.apical_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.basolateral_hydraulic_pL_s_mOsm,False,False,0.0515,Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,water.basolateral_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.paracellular_hydraulic_pL_s_mOsm,False,False,0.00026,Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,water.paracellular_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.outflow_rate_s,False,False,0.2,"local compliance/outflow closure, not secretion calibration",NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,water.outflow_rate_s,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,s^-1
AE4,False,False,0.1501264265070657,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,ae4_parameters.carrier_amount_fmol,TARGET_DETERMINED,fmol
NKCC1,False,False,0.32,placeholder capacity; no AE4-null secretion calibration,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,homeostasis.nkcc1_capacity_fmol_s,TARGET_DETERMINED,fmol s^-1
NHE1,False,False,0.007440980590414482,placeholder capacity; calibrated only against WT acid-base evidence,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,homeostasis.nhe1_capacity_fmol_s,ADJUSTABLE,fmol s^-1
pump_apical,False,False,0.00910048,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
pump_basolateral,False,False,0.15089952,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_apical,False,False,5.6000000000000005e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_basolateral,False,False,8.399999999999999e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
CaCC,False,False,3.14e-08,apical Ca-activated Cl conductance,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_cl_apical_S,ADJUSTABLE,S
CO2_basolateral,False,False,0.02,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,homeostasis.co2_basolateral_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
CO2_apical,False,False,0.01,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,homeostasis.co2_apical_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
paracellular_Na,False,False,3e-10,historical-lineage paracellular Na pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_para_na_S,ADJUSTABLE,S
paracellular_K,False,False,5e-11,historical-lineage paracellular K pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_para_k_S,ADJUSTABLE,S
paracellular_Cl,False,False,2.5e-10,charge-complete paracellular Cl pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_para_cl_S,ADJUSTABLE,S
paracellular_HCO3,False,False,5e-11,charge-complete paracellular bicarbonate pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_para_hco3_S,ADJUSTABLE,S
homeostasis.ae2_capacity_fmol_s,False,False,0.005,small placeholder capacity; AE2-null is a validation gate,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,homeostasis.ae2_capacity_fmol_s,FIXED_NONLOADING_TRANSPORTER,fmol s^-1
membranes.g_apical_background_S,False,False,0.0,zero preserves the exact no-apical-K nesting limit,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_apical_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
membranes.g_basolateral_background_S,False,False,0.0,small K-selective regularizer; set zero only if closure remains nonsingular,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,membranes.g_basolateral_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
water.apical_hydraulic_pL_s_mOsm,False,False,0.00432,Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,water.apical_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.basolateral_hydraulic_pL_s_mOsm,False,False,0.0515,Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,water.basolateral_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.paracellular_hydraulic_pL_s_mOsm,False,False,0.00026,Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,water.paracellular_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.outflow_rate_s,False,False,0.2,"local compliance/outflow closure, not secretion calibration",NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,water.outflow_rate_s,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,s^-1
AE4,False,False,0.1501264265070657,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,ae4_parameters.carrier_amount_fmol,TARGET_DETERMINED,fmol
NKCC1,False,False,0.32,placeholder capacity; no AE4-null secretion calibration,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,homeostasis.nkcc1_capacity_fmol_s,TARGET_DETERMINED,fmol s^-1
NHE1,False,False,0.007440980590414482,placeholder capacity; calibrated only against WT acid-base evidence,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,homeostasis.nhe1_capacity_fmol_s,ADJUSTABLE,fmol s^-1
pump_apical,False,False,0.00455024,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
pump_basolateral,False,False,0.07544976,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_apical,False,False,2.8000000000000003e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_basolateral,False,False,1.1200000000000001e-08,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
CaCC,False,False,3.14e-08,apical Ca-activated Cl conductance,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_cl_apical_S,ADJUSTABLE,S
CO2_basolateral,False,False,0.02,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,homeostasis.co2_basolateral_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
CO2_apical,False,False,0.01,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,homeostasis.co2_apical_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
paracellular_Na,False,False,3e-10,historical-lineage paracellular Na pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_para_na_S,ADJUSTABLE,S
paracellular_K,False,False,5e-11,historical-lineage paracellular K pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_para_k_S,ADJUSTABLE,S
paracellular_Cl,False,False,2.5e-10,charge-complete paracellular Cl pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_para_cl_S,ADJUSTABLE,S
paracellular_HCO3,False,False,5e-11,charge-complete paracellular bicarbonate pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_para_hco3_S,ADJUSTABLE,S
homeostasis.ae2_capacity_fmol_s,False,False,0.005,small placeholder capacity; AE2-null is a validation gate,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,homeostasis.ae2_capacity_fmol_s,FIXED_NONLOADING_TRANSPORTER,fmol s^-1
membranes.g_apical_background_S,False,False,0.0,zero preserves the exact no-apical-K nesting limit,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_apical_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
membranes.g_basolateral_background_S,False,False,0.0,small K-selective regularizer; set zero only if closure remains nonsingular,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,membranes.g_basolateral_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
water.apical_hydraulic_pL_s_mOsm,False,False,0.00432,Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,water.apical_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.basolateral_hydraulic_pL_s_mOsm,False,False,0.0515,Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,water.basolateral_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.paracellular_hydraulic_pL_s_mOsm,False,False,0.00026,Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,water.paracellular_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.outflow_rate_s,False,False,0.2,"local compliance/outflow closure, not secretion calibration",NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,water.outflow_rate_s,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,s^-1
AE4,False,False,0.1501264265070657,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,ae4_parameters.carrier_amount_fmol,TARGET_DETERMINED,fmol
NKCC1,False,False,0.32,placeholder capacity; no AE4-null secretion calibration,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,homeostasis.nkcc1_capacity_fmol_s,TARGET_DETERMINED,fmol s^-1
NHE1,False,False,0.007440980590414482,placeholder capacity; calibrated only against WT acid-base evidence,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,homeostasis.nhe1_capacity_fmol_s,ADJUSTABLE,fmol s^-1
pump_apical,False,False,0.00910048,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
pump_basolateral,False,False,0.15089952,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_apical,False,False,2.8000000000000003e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_basolateral,False,False,1.1200000000000001e-08,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
CaCC,False,False,3.14e-08,apical Ca-activated Cl conductance,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_cl_apical_S,ADJUSTABLE,S
CO2_basolateral,False,False,0.02,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,homeostasis.co2_basolateral_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
CO2_apical,False,False,0.01,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,homeostasis.co2_apical_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
paracellular_Na,False,False,3e-10,historical-lineage paracellular Na pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_para_na_S,ADJUSTABLE,S
paracellular_K,False,False,5e-11,historical-lineage paracellular K pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_para_k_S,ADJUSTABLE,S
paracellular_Cl,False,False,2.5e-10,charge-complete paracellular Cl pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_para_cl_S,ADJUSTABLE,S
paracellular_HCO3,False,False,5e-11,charge-complete paracellular bicarbonate pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_para_hco3_S,ADJUSTABLE,S
homeostasis.ae2_capacity_fmol_s,False,False,0.005,small placeholder capacity; AE2-null is a validation gate,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,homeostasis.ae2_capacity_fmol_s,FIXED_NONLOADING_TRANSPORTER,fmol s^-1
membranes.g_apical_background_S,False,False,0.0,zero preserves the exact no-apical-K nesting limit,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_apical_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
membranes.g_basolateral_background_S,False,False,0.0,small K-selective regularizer; set zero only if closure remains nonsingular,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,membranes.g_basolateral_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
water.apical_hydraulic_pL_s_mOsm,False,False,0.00432,Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,water.apical_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.basolateral_hydraulic_pL_s_mOsm,False,False,0.0515,Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,water.basolateral_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.paracellular_hydraulic_pL_s_mOsm,False,False,0.00026,Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,water.paracellular_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.outflow_rate_s,False,False,0.2,"local compliance/outflow closure, not secretion calibration",NEW_MODELING_DECISION,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,water.outflow_rate_s,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,s^-1
AE4,False,False,0.1501264265070657,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,ae4_parameters.carrier_amount_fmol,TARGET_DETERMINED,fmol
NKCC1,False,False,0.32,placeholder capacity; no AE4-null secretion calibration,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,homeostasis.nkcc1_capacity_fmol_s,TARGET_DETERMINED,fmol s^-1
NHE1,False,False,0.007440980590414482,placeholder capacity; calibrated only against WT acid-base evidence,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,homeostasis.nhe1_capacity_fmol_s,ADJUSTABLE,fmol s^-1
pump_apical,False,False,0.006006,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
pump_basolateral,False,False,0.073994,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_apical,False,False,4.1999999999999996e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
K_basolateral,False,False,9.799999999999998e-09,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
CaCC,False,False,3.14e-08,apical Ca-activated Cl conductance,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_cl_apical_S,ADJUSTABLE,S
CO2_basolateral,False,False,0.02,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,homeostasis.co2_basolateral_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
CO2_apical,False,False,0.01,linear neutral CO2 exchange coefficient,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,homeostasis.co2_apical_permeability_fmol_s_mM,ADJUSTABLE,fmol s^-1 mM^-1
paracellular_Na,False,False,3e-10,historical-lineage paracellular Na pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_para_na_S,ADJUSTABLE,S
paracellular_K,False,False,5e-11,historical-lineage paracellular K pathway; value not frozen,PUBLISHED_MODEL,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_para_k_S,ADJUSTABLE,S
paracellular_Cl,False,False,2.5e-10,charge-complete paracellular Cl pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_para_cl_S,ADJUSTABLE,S
paracellular_HCO3,False,False,5e-11,charge-complete paracellular bicarbonate pathway,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_para_hco3_S,ADJUSTABLE,S
homeostasis.ae2_capacity_fmol_s,False,False,0.005,small placeholder capacity; AE2-null is a validation gate,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,homeostasis.ae2_capacity_fmol_s,FIXED_NONLOADING_TRANSPORTER,fmol s^-1
membranes.g_apical_background_S,False,False,0.0,zero preserves the exact no-apical-K nesting limit,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_apical_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
membranes.g_basolateral_background_S,False,False,0.0,small K-selective regularizer; set zero only if closure remains nonsingular,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,membranes.g_basolateral_background_S,BASELINE_ZERO_NOT_ACTIVATED,S
water.apical_hydraulic_pL_s_mOsm,False,False,0.00432,Palk 2010/2018 Pa=4.32e-12 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,water.apical_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.basolateral_hydraulic_pL_s_mOsm,False,False,0.0515,Palk 2010/2018 Pb=5.15e-11 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,water.basolateral_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.paracellular_hydraulic_pL_s_mOsm,False,False,0.00026,Palk 2010/2018 Pt=2.6e-13 L^2 mol^-1 s^-1 converted by 1 mM=1e-3 mol/L and 1 L=1e12 pL,PUBLISHED_MODEL,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,water.paracellular_hydraulic_pL_s_mOsm,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,pL s^-1 (mOsm L^-1)^-1
water.outflow_rate_s,False,False,0.2,"local compliance/outflow closure, not secretion calibration",NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,water.outflow_rate_s,AUDITED_FIXED_ZERO_VOLUME_PERTURBATION,s^-1
AE4,False,False,0.1501264265070657,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,ae4_parameters.carrier_amount_fmol,TARGET_DETERMINED,fmol
NKCC1,False,False,0.32,placeholder capacity; no AE4-null secretion calibration,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,homeostasis.nkcc1_capacity_fmol_s,TARGET_DETERMINED,fmol s^-1
NHE1,False,False,0.007440980590414482,placeholder capacity; calibrated only against WT acid-base evidence,NEW_MODELING_DECISION,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,homeostasis.nhe1_capacity_fmol_s,ADJUSTABLE,fmol s^-1
pump_apical,False,False,0.012012,Independent positive coordinate used by the canonical objective.,DERIVED_INDEPENDENT_COORDINATE,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,total plus membrane fraction,ADJUSTABLE,independent membrane capacity
