name,value,units,provenance,note,group,active,classification,source_path,justification,uncertainty,default_value,differs_from_default
cha.modifier_k_i_mM,3.07e-05,mM,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.modifier_k_o_mM,4.8e-07,mM,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
cha.k2_minus_table_per_ms,183.0,ms^-1,audited_active_object,,cha,True,published_kinetic_coefficient,src/modern_full_model/nhe1_cha2009.py; results/31_nhe1_mechanistic_repair/source_table_s1.json,"Printed Cha 2009 Table S1 coefficient, transferred as a kinetic law. The printed fourth reverse rate is retained despite its documented rounding discrepancy from exact microscopic reversibility.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
regulation.tau_ae4_s,30.0,s,audited_active_object,,regulation,True,effective_assumption,src/modern_full_model/camp_pka.py,"A 30 s effective response time, not a resolved measurement of the intermediate signalling kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
regulation.basal_capacity_multiplier,1.0,dimensionless,audited_active_object,,regulation,True,effective_assumption,src/modern_full_model/camp_pka.py,Effective normalisation or gain; pathway activation evidence does not identify each coefficient independently.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
regulation.fully_activated_increment,0.25,dimensionless,audited_active_object,,regulation,True,effective_assumption,src/modern_full_model/camp_pka.py,Effective normalisation or gain; pathway activation evidence does not identify each coefficient independently.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
regulation.coupling_scale,1.0,dimensionless,audited_active_object,,regulation,True,effective_assumption,src/modern_full_model/camp_pka.py,Effective normalisation or gain; pathway activation evidence does not identify each coefficient independently.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc_activation.fully_activated_multiplier,1.75,dimensionless,audited_active_object,,nkcc_activation,True,inherited_effective_setting,src/modern_full_model/nkcc_stimulation.py,Inherited algebraic capacity modulation. Its 0.10 uM saturation endpoint is distinct from the NBC 0.25 uM endpoint; at the production input both are fully recruited.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc_activation.resting_calcium_uM,0.058,uM,audited_active_object,,nkcc_activation,True,inherited_effective_setting,src/modern_full_model/nkcc_stimulation.py,Inherited algebraic capacity modulation. Its 0.10 uM saturation endpoint is distinct from the NBC 0.25 uM endpoint; at the production input both are fully recruited.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
nkcc_activation.stimulated_calcium_uM,0.1,uM,audited_active_object,,nkcc_activation,True,inherited_effective_setting,src/modern_full_model/nkcc_stimulation.py,Inherited algebraic capacity modulation. Its 0.10 uM saturation endpoint is distinct from the NBC 0.25 uM endpoint; at the production input both are fully recruited.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.arm,CCH_IPR,configuration,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.onset_s,0.0,s,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.duration_s,600.0,s,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.cch_dose_uM,0.3,uM,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.ipr_dose_uM,5.0,uM,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.resting_calcium_uM,0.058,uM,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.stimulated_calcium_uM,0.25,uM,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
protocol.beta_occupancy_on,1.0,configuration,audited_active_object,,protocol,True,protocol_setting,src/modern_full_model/validation.py,"Declared experimental-input representation, including a step waveform; this is not evidence for measured intracellular calcium kinetics.",No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
Task41.b,0.10511872843288446,dimensionless,audited_active_object,,Task41,False,target_selected,src/modern_full_model/task41_selected.py,Residual CaCC recruitment in the deliberately inverse Task 41 construction. Not part of the parent Task 40 parameter set.,No measured uncertainty interval supplied; vary only with stated conditional assumptions.,,
